"","ELI","NIT","SFI"
"111CU_NIT",0,1,0
"111FC_NIT",0,1,0
"111VG_ELI",1,0,0
"111YS_NIT",0,1,0
"1122O_NIT",0,1,0
"1128S_NIT",0,1,0
"113JC_NIT",0,1,0
"117XS_NIT",0,1,0
"117YW_SFI",0,0,1
"117YX_NIT",0,1,0
"1192W_NIT",0,1,0
"1192X_NIT",0,1,0
"11DXY_SFI",0,0,1
"11EQ8_SFI",0,0,1
"11EQ9_SFI",0,0,1
"11GS4_SFI",0,0,1
"11NV4_ELI",1,0,0
"11O72_SFI",0,0,1
"11TUW_SFI",0,0,1
"11XUK_ELI",1,0,0
"1211K_SFI",0,0,1
"12584_SFI",0,0,1
"12BJ1_SFI",0,0,1
"13NZ9_ELI",1,0,0
"13QJC_ELI",1,0,0
"14ABY_ELI",1,0,0
"14AS3_ELI",1,0,0
"14BMU_ELI",1,0,0
"PLZ4-_ELI",1,0,0
"R55G-_ELI",1,0,0
