"logFC","logCPM","PValue","FDR","ENTREZID","SYMBOL","GENENAME"
-3.44615025503118,4.42798235898307,4.55436106428933e-07,0.00261761902170029,"3379",NA,NA
2.30221040541926,2.51882931739241,2.4843534024404e-05,0.019694925766243,"3722",NA,NA
-2.80096992796846,3.88525659052823,1.91906740334129e-05,0.0166511448969093,"4443",NA,NA
-3.76137526488742,4.62557989978815,1.68526367623911e-06,0.00430491243519302,"6694","SPP2","secreted phosphoprotein 2"
-3.16097312813771,5.12940721353301,1.04178517762739e-05,0.0119753206168269,"6695","SPOCK1","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1"
-3.29805312154589,5.69503229909178,3.19235931369416e-05,0.022240103218736,"6702","SPRR2C","small proline rich protein 2C (pseudogene)"
-4.31349636466972,0.91725666695948,2.83031846778407e-05,0.0203443824030376,"6705","SPRR2F","small proline rich protein 2F"
-4.19269917240943,5.38421695261259,1.3511739873731e-06,0.00430491243519302,"6708","SPTA1","spectrin alpha, erythrocytic 1"
-5.0161455358957,3.11454758092308,1.95554985740126e-05,0.0166511448969093,"6714","SRC","SRC proto-oncogene, non-receptor tyrosine kinase"
-3.18245474565308,6.66995377943243,1.40980241545958e-06,0.00430491243519302,"6717","SRI","sorcin"
-3.70965521718933,3.33714589549928,5.52508496997358e-06,0.0084681135639795,"6725","SRMS","src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites"
-4.35184651091818,4.67346055968878,1.64544705158841e-06,0.00430491243519302,"6736","SRY","sex determining region Y"
-8.22500790352734,-0.100167268555452,3.16849025474956e-06,0.00524732541474906,"6750","SST","somatostatin"
-5.40395651486566,-0.378795000685629,1.86230373791064e-05,0.0166511448969093,"6751","SSTR1","somatostatin receptor 1"
-4.05039782326039,1.62166458122836,5.01329874136531e-05,0.0329302108754253,"6758","SSX5","SSX family member 5"
-5.85088758085742,-0.378432826700384,7.15517085922819e-06,0.00967631635609742,"6764","DENND2B","DENN domain containing 2B"
-4.60083183110621,0.437533420475971,8.2357978851389e-05,0.0461807300925227,"12867",NA,NA
-2.8029391177415,6.87180497637516,1.42098492955334e-05,0.0142036711001875,"13257",NA,NA
-3.30653849877966,4.39556195412232,3.69222953086532e-07,0.00261761902170029,"16760",NA,NA
4.84501452505323,2.41895144265433,6.69933610570252e-06,0.00962610856688131,"30141",NA,NA
-3.94532952018074,5.46330606941961,2.74131595046861e-07,0.00261761902170029,"39069",NA,NA
-4.09558499042085,11.1522861480051,4.27370090444796e-07,0.00261761902170029,"39075",NA,NA
-3.78595072749776,8.42035398076773,2.57723533791672e-06,0.00493755336822545,"39076",NA,NA
-3.04782520668177,2.85319555898761,5.33491264713443e-05,0.0340693449326724,"39088",NA,NA
-3.51304932342188,2.64599091437076,7.99372118062901e-06,0.0102097583301478,"39124",NA,NA
-3.82730982430662,3.87948110396479,1.38943291617187e-05,0.0142036711001875,"39130",NA,NA
-4.04551923755669,0.193593585611808,1.81440591828726e-05,0.0166511448969093,"39145",NA,NA
-4.73899251977134,2.68089170844433,4.83726550435081e-05,0.0327084511603015,"39165",NA,NA
-4.24285390592325,1.19560226240728,2.08230064949689e-06,0.0046141244830869,"39200",NA,NA
-3.65482130259353,3.0319145421839,8.54449703414511e-06,0.0103388414113156,"39211",NA,NA
-4.0904555688778,5.28906896432106,8.63642075138763e-07,0.00397102626148803,"39245",NA,NA
-5.13769565845952,1.39152059260468,2.20771506367794e-06,0.0046141244830869,"52390",NA,NA
-2.96353350051774,3.62323389031587,7.84064172932475e-05,0.045064088339294,"52421",NA,NA
-4.15739719231969,4.05811704065833,3.19541347570626e-06,0.00524732541474906,"52429",NA,NA
-3.33433183965393,4.64373426641777,6.41427929233145e-05,0.0398552110623514,"52431",NA,NA
-4.72285410160985,-0.122592782625242,7.1333943011e-05,0.043157035521655,"52435",NA,NA
-3.92665331412668,2.03735651677889,2.63826502489828e-05,0.0202179043074705,"52444",NA,NA
-2.86913484575792,4.23039301898273,1.09933894467941e-05,0.0120351439705618,"52463",NA,NA
-3.25460935269312,6.36319637725904,2.41473003137219e-05,0.019694925766243,"52465",NA,NA
-4.56004519635815,3.73767106123419,7.58229901653419e-05,0.0446966806128515,"52471",NA,NA
-4.09817013643658,2.88361350650942,2.83175396649501e-05,0.0203443824030376,"52473",NA,NA
